Device,Message Name,CAN ID,Length,Byte,Bit Start,Data Name,Description,Data Type,Min,Max,Scaled Min,Scaled Max,Map Equation,Units,
,,,,4-5,32,Status,"Bit 0: true = Device error active
Bit 1: true = HV_pos connection failure
Bit 2: true = HV_neg connection failure
Bit 3: true = Earth connection failure
Bit 4: true = Iso Alarm (iso value below threshold error)
Bit 5: true = Iso Warning (iso value below threshold warning)
Bit 6: true = Iso Outdated (value „Time elapsed since lst measurement“ > = „measurement timeout“)
Bit 7: true = Unbalance Alarm (unbalance value below threshold)
Bit 8: true = Undervoltage Alarm
Bit 9: true = Unsafe to Start
Bit 10: true = Earthlift open",,,,,,,,
,,,,6,48,Activity,,,,,,,,,
,,,,7,56,RESERVED,Filled with FF’s,,,,,,,,
IMD,IMD isolation info,18EFF4FE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
IMD,IMD voltage,18EFF4FE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
IMD,IMD IT-system,18EFF4FE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
IMD,IMD request,18EFF4FE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
IMD,IMD response,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Charger,Charger Data,18FF50E5,8,,,,,,,,,,,,https://www.evwest.com/support/Elcon%20CAN%20Specification%202019.pdf
,,,,0-1,0,Output Voltage,,u16,,,,,0.1x,Volts,
,,,,2-3,16,Output Current,,u16,,,,,0.1x,Amps,
,,,,4,17,Hardware Failure,"Bit 0: Hardware Failure: 0-Normal, 1-Error",b,,,,,,,
,,,,,18,OverTemp,"Bit 1: OverTemp: 0-Normal, 1-Error",b,,,,,,,
,,,,,19,Input Voltage Error,"Bit 2: Input Voltage: 0-Normal, 1-Wrong input voltage",b,,,,,,,
,,,,,20,Connection Error,"Bit 3: Starting State: 0-Correct, 1-Wrong polarity or NC",b,,,,,,,
,,,,,21,Communication State,"Bit 4: Communication State: 0-Normal, 1-Timeout",b,,,,,,,
,,,,5-7,24,RESERVED,,,,,,,,,
Charger,Charger Control,1806E5F4,5,,,,,,,,,,,,
,,,,0-1,0,Set Voltage,,u16,,,,,0.1x,Volts,
,,,,2-3,16,Set Current,,u16,,,,,0.1x,Amps,
,,,,4,17,Charge Enable,"1: Start Charging
0: Stop Charging",b,,,,,,,
Energy Meter,EM Measurement,10d,8,,,,,,,,,,,,https://www.fsaeonline.com/cdsweb/gen/DownloadDocument.aspx?DocumentID=b715b5fb-d32c-47ec-9afb-3ddccfc6151b
,,,,0-3,0,Current,TS Current,float,,,,,,Amps,
,,,,4-7,32,Voltage,TS Voltage,float,,,,,,Volts,
Energy Meter,EM Status,40d,8,,,,,,,,,,,,
,,,,0,0,Violation,Violation occured?,b,,,,,,,
,,,,,1,Logging,Logging enabled?,b,,,,,,,
,,,,1-4,8,Energy,Energy used in Wh,float,,,,,,Wh,
Energy Meter,EM Temperature,60d,8,,,,,,,,,,,,
,,,,0,0-2,Mux Signal,n = [0-6],u3,0,8,0,6,x,#,
,,,,,3-7,Num Sensors,Number of sensors up to 32,u5,0,32,0,32,x,#,
,,,,1,8,Min Temp,Min temp of all sensors,u8,0,255,0,127.5,x/2,degC,
,,,,2,16,Max Temp,Max temp of all sensors,u8,0,255,0,127.5,x/2,degC,
,,,,3,24,Temp 5n,"[0,5,10,15,20,25,30] based on n above",u8,0,255,0,127.5,x/2,degC,
,,,,4,32,Temp 5n+1,,u8,0,255,0,127.5,x/2,degC,
,,,,5,40,Temp 5n+2,,u8,0,255,0,127.5,x/2,degC,
,,,,6,48,Temp 5n+3,,u8,0,255,0,127.5,x/2,degC,
,,,,7,56,Temp 5n+4,,u8,0,255,0,127.5,x/2,degC,
Energy Meter,EM Team Data 1,30d,8,,,,,,,,,,,,
,,,,0-3,0,Team Signal 1,Fuck if I know,s32,,,,,,,
,,,,4-7,32,Team Signal 2,Fuck if I know,s32,,,,,,,
Energy Meter,EM Team Data 2,30e,8,,,,,,,,,,,,
,,,,0-3,0,Team Signal 3,Fuck if I know,s32,,,,,,,
,,,,4-7,32,Team Signal 4,Fuck if I know,s32,,,,,,,
