MSG ID,Message Name,Length,Byte,Bit Start,Data Name,Description,Data Type,Min,Max,Scaled Min,Scaled Max,Map Equation,Units,For Indexing Purposes,Status
0x005,ECU Status 3,4,,,,,,,,,,,,5,
,,,0-1,0,RR Wheel RPM,Wheel RPM,u16,0,65535,-3276.8,3276.7,0.1x-3276.8,RPM,5,
,,,2-3,16,RL Wheel RPM,Wheel RPM,u16,0,65535,-3276.8,3276.7,0.1x-3276.8,RPM,5,
0x006,ECU config,0,,,,,,,,,,,,6,
,,,0,0,Reserved,"Reserved, Currently all selection will be done in response to Dash & Steering status messages",~,~,~,~,~,~,~,6,
0x007,ACU Status 1,8,,,,,,,,,,,,7,
,,,0-1,0,Accumulator Voltage,All cell voltages added up,u16,0,65535,0,655.35,0.01x,Volts,7,Done
,,,2-3,16,TS Voltage,Output terminal voltage of accumulator,u16,0,65535,0,655.35,0.01x,Volts,7,Done
,,,4-5,32,Accumulator Current,Current output of accumulator,u16,0,65535,-327.68,327.67,0.01x-327.68,Amps,7,Done
,,,6,48,Accumulator SOC,Accumulator state of charge (Based on lowest cell),u8,0,255,0,100,20x/51,%,7,Done
,,,7,56,GLV SOC,GLV state of charge,u8,0,255,0,100,20x/51,%,7,Done
0x008,ACU Status 2,7,,,,,,,,,,,,8,
,,,0,0,20v Voltage,20v GLV voltage,u8,0,255,0,25.5,0.1x,Volts,8,Done
,,,1,8,12v Voltage,12v supply voltage,u8,0,255,0,25.5,0.1x,Volts,8,Done
,,,2,16,SDC Voltage,Voltage before ACU Latch,u8,0,255,0,25.5,0.1x,Volts,8,Done
,,,3,24,Min Cell Voltage,Lowest cell voltage in accumulator,u8,0,255,2,4.55,0.01x+2,Volts,8,Done
,,,4,32,Max Cell Temp,Hottest cell in accumulator,u8,0,255,0,63.75,0.25x,Celsius,8,Done
,,,5,40,Over Temp Error,Over temp (>60c),b,0,1,~,~,~,Bool,8,Done
,,,,41,Over Voltage Error,Over voltage (>4.2v per cell),b,0,1,~,~,~,Bool,8,Done
,,,,42,Under Voltage Error,Under voltage (<2.5v per cell),b,0,1,~,~,~,Bool,8,Done
,,,,43,Over Current Error,Over current (discharge),b,0,1,~,~,~,Bool,8,Done
,,,,44,Under Current Error,Over current (charging),b,0,1,~,~,~,Bool,8,Done
,,,,45,Under Voltage 20v Warning,20v GLV too low (<15?),b,0,1,~,~,~,Bool,8,Done
,,,,46,Under Voltage 12v Warning,12v supply too low (<10?),b,0,1,~,~,~,Bool,8,Done
,,,,47,Under Voltage SDC Warning,SDC too low (<9?),b,0,1,~,~,~,Bool,8,Done
,,,6,48,Precharge Error,Precharge timed out,b,0,1,~,~,~,Bool,8,Done
,,,,49,IR- / Precharge State,0: Open           1: Closed,b,0,1,~,~,~,Bool,8,Done
,,,,50,IR+ State,0: Open           1: Closed,b,0,1,~,~,~,Bool,8,Done
,,,,51,Software Latch,0: Open           1: Closed,b,0,1,~,~,~,Bool,8,Done
,,,,52-55,Reserved,Future Use,,,,,,,,8,
0x009,ACU Status 3,8,,,,,,,,,,,,9,
,,,0-1,0,HV Input Voltage,600v input voltage,u16,0,65535,0,655.35,0.01x,Volts,9,Done
,,,2-3,16,HV Output Voltage,20v output voltage,u16,0,65535,0,655.35,0.01x,Volts,9,Done
,,,4-5,32,HV Input Current,600v input current,u16,0,65535,0,65.535,0.001x,Amps,9,Done
,,,6-7,48,HV Output Current,20v output current,u16,0,65535,0,65.535,0.001x,Amps,9,Done
0x00A,ACU Precharge,1,,,,,,,,,,,,10,
,,,0,0,Set TS Active,"0: shutdown, 1: go TS Active/Precharge",b,0,1,~,~,~,Bool,10,Done
0x00B,ACU Config Charge Parameters,4,,,,,,,,,,,,11,
,,,0-1,0,Charge Voltage,Sets the Target Charging voltage,u16,0,65535,0,6553.5,0.1x,Volts,11,Done
,,,2-3,16,Charge Current,Sets the Target Charging Current,u16,0,65535,0,6553.5,0.1x,Amps,11,Done
0x00C,ACU Config Operational Parameters,2,,,,,,,,,,,,12,
,,,0,0,Minimium Cell Voltage,Sets the threshold for Minimum Cell Voltage before Shutdown,u8,0,255,2,4.55,0.01x+2,Volts,12,Done
,,,1,8,Max Cell Temperature,Sets the threshold for Max Cell Temperature before Shutdown,u8,0,255,0,63.75,0.25x,Celsius,12,Done
0x00D,ACU Cell Data 1,64,,,,,,,,,,,,13,
,,,0,0,Cell 0 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,1,8,Cell 0 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,2,16,Cell 1 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,3,24,Cell 1 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,4,32,Cell 2 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,5,40,Cell 2 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,6,48,Cell 3 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,7,56,Cell 3 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,8,64,Cell 4 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,9,72,Cell 4 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,10,80,Cell 5 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,11,88,Cell 5 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,12,96,Cell 6 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,13,104,Cell 6 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,14,112,Cell 7 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,15,120,Cell 7 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,16,128,Cell 8 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,17,136,Cell 8 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,18,144,Cell 9 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,19,152,Cell 9 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,20,160,Cell 10 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,21,168,Cell 10 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,22,176,Cell 11 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,23,184,Cell 11 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,24,192,Cell 12 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,25,200,Cell 12 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,26,208,Cell 13 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,27,216,Cell 13 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,28,224,Cell 14 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,29,232,Cell 14 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,30,240,Cell 15 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,31,248,Cell 15 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,32,256,Cell 16 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,33,264,Cell 16 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,34,272,Cell 17 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,35,280,Cell 17 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,36,288,Cell 18 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,37,296,Cell 18 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,38,304,Cell 19 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,39,312,Cell 19 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,40,320,Cell 20 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,41,328,Cell 20 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,42,336,Cell 21 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,43,344,Cell 21 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,44,352,Cell 22 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,45,360,Cell 22 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,46,368,Cell 23 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,47,376,Cell 23 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,48,384,Cell 24 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,49,392,Cell 24 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,50,400,Cell 25 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,51,408,Cell 25 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,52,416,Cell 26 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,53,424,Cell 26 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,54,432,Cell 27 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,55,440,Cell 27 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,56,448,Cell 28 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,57,456,Cell 28 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,58,464,Cell 29 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,59,472,Cell 29 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,60,480,Cell 30 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,61,488,Cell 30 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
,,,62,496,Cell 31 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,13,Done
,,,63,504,Cell 31 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,13,Done
0x00E,ACU Cell Data 2,64,,,,,,,,,,,,14,
,,,0,0,Cell 32 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,1,8,Cell 32 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,2,16,Cell 33 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,3,24,Cell 33 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,4,32,Cell 34 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,5,40,Cell 34 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,6,48,Cell 35 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,7,56,Cell 35 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,8,64,Cell 36 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,9,72,Cell 36 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,10,80,Cell 37 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,11,88,Cell 37 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,12,96,Cell 38 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,13,104,Cell 38 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,14,112,Cell 39 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,15,120,Cell 39 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,16,128,Cell 40 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,17,136,Cell 40 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,18,144,Cell 41 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,19,152,Cell 41 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,20,160,Cell 42 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,21,168,Cell 42 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,22,176,Cell 43 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,23,184,Cell 43 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,24,192,Cell 44 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,25,200,Cell 44 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,26,208,Cell 45 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,27,216,Cell 45 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,28,224,Cell 46 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,29,232,Cell 46 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,30,240,Cell 47 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,31,248,Cell 47 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,32,256,Cell 48 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,33,264,Cell 48 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,34,272,Cell 49 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,35,280,Cell 49 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,36,288,Cell 50 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,37,296,Cell 50 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,38,304,Cell 51 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,39,312,Cell 51 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,40,320,Cell 52 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,41,328,Cell 52 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,42,336,Cell 53 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,43,344,Cell 53 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,44,352,Cell 54 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,45,360,Cell 54 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,46,368,Cell 55 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,47,376,Cell 55 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,48,384,Cell 56 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,49,392,Cell 56 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,50,400,Cell 57 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,51,408,Cell 57 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,52,416,Cell 58 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,53,424,Cell 58 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,54,432,Cell 59 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,55,440,Cell 59 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,56,448,Cell 60 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,57,456,Cell 60 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,58,464,Cell 61 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,59,472,Cell 61 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,60,480,Cell 62 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,61,488,Cell 62 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
,,,62,496,Cell 63 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,14,Done
,,,63,504,Cell 63 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,14,Done
0x00F,ACU Cell Data 3,64,,,,,,,,,,,,15,
,,,0,0,Cell 64 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,1,8,Cell 64 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,2,16,Cell 65 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,3,24,Cell 65 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,4,32,Cell 66 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,5,40,Cell 66 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,6,48,Cell 67 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,7,56,Cell 67 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,8,64,Cell 68 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,9,72,Cell 68 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,10,80,Cell 69 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,11,88,Cell 69 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,12,96,Cell 70 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,13,104,Cell 70 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,14,112,Cell 71 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,15,120,Cell 71 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,16,128,Cell 72 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,17,136,Cell 72 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,18,144,Cell 73 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,19,152,Cell 73 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,20,160,Cell 74 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,21,168,Cell 74 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,22,176,Cell 75 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,23,184,Cell 75 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,24,192,Cell 76 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,25,200,Cell 76 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,26,208,Cell 77 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,27,216,Cell 77 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,28,224,Cell 78 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,29,232,Cell 78 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,30,240,Cell 79 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,31,248,Cell 79 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,32,256,Cell 80 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,33,264,Cell 80 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,34,272,Cell 81 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,35,280,Cell 81 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,36,288,Cell 82 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,37,296,Cell 82 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,38,304,Cell 83 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,39,312,Cell 83 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,40,320,Cell 84 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,41,328,Cell 84 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,42,336,Cell 85 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,43,344,Cell 85 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,44,352,Cell 86 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,45,360,Cell 86 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,46,368,Cell 87 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,47,376,Cell 87 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,48,384,Cell 88 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,49,392,Cell 88 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,50,400,Cell 89 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,51,408,Cell 89 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,52,416,Cell 90 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,53,424,Cell 90 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,54,432,Cell 91 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,55,440,Cell 91 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
,,,56,448,Cell 92 Voltage,Cell  n voltage,u8,0,255,2,4.55,0.01x+2,Volts,15,
,,,57,456,Cell 92 Temp,Cell n temperature,u8,0,255,0,63.75,0.25x,Celsius,15,
